Year,SSP1,SSP2,SSP3,SSP5
2020,1,1,1,1
2021,1.053064231,1.041251483,1.033706366,1.062708538
2022,1.106128462,1.082502966,1.067412731,1.125417076
2023,1.159192693,1.123754448,1.101119097,1.188125613
2024,1.212256924,1.165005931,1.134825462,1.250834151
2025,1.265321155,1.206257414,1.168531828,1.313542689
2026,1.318385386,1.247508897,1.202238193,1.376251227
2027,1.371449617,1.28876038,1.235944559,1.438959764
2028,1.424513848,1.330011862,1.269650924,1.501668302
2029,1.477578079,1.371263345,1.30335729,1.56437684
2030,1.53064231,1.412514828,1.337063655,1.627085378
2031,1.59678845,1.454527481,1.360821355,1.719725221
2032,1.66293459,1.496540134,1.384579055,1.812365064
2033,1.729080731,1.538552788,1.408336756,1.905004907
2034,1.795226871,1.580565441,1.432094456,1.99764475
2035,1.861373011,1.622578094,1.455852156,2.090284593
2036,1.927519151,1.664590747,1.479609856,2.182924436
2037,1.993665292,1.706603401,1.503367556,2.275564279
2038,2.059811432,1.748616054,1.527125257,2.368204122
2039,2.125957572,1.790628707,1.550882957,2.460843965
2040,2.192103712,1.83264136,1.574640657,2.553483808
2041,2.258986447,1.876927639,1.59325462,2.656035329
2042,2.325869181,1.921213919,1.611868583,2.75858685
2043,2.392751915,1.965500198,1.630482546,2.861138371
2044,2.459634649,2.009786477,1.649096509,2.963689892
2045,2.526517384,2.054072756,1.667710472,3.066241413
2046,2.593400118,2.098359035,1.686324435,3.168792934
2047,2.660282852,2.142645314,1.704938398,3.271344455
2048,2.727165586,2.186931594,1.723552361,3.373895976
2049,2.794048321,2.231217873,1.742166324,3.476447498
2050,2.860931055,2.275504152,1.760780287,3.578999019
2051,2.924759379,2.323378806,1.77711499,3.690480864
2052,2.988587704,2.37125346,1.793449692,3.801962709
2053,3.052416028,2.419128114,1.809784394,3.913444553
2054,3.116244353,2.467002768,1.826119097,4.024926398
2055,3.180072677,2.514877422,1.842453799,4.136408243
2056,3.243901002,2.562752076,1.858788501,4.247890088
2057,3.307729326,2.61062673,1.875123203,4.359371933
2058,3.371557651,2.658501384,1.891457906,4.470853778
2059,3.435385975,2.706376038,1.907792608,4.582335623
2060,3.4992143,2.754250692,1.92412731,4.693817468
2061,3.561088195,2.809183472,1.9412423,4.818940137
2062,3.62296209,2.864116251,1.95835729,4.944062807
2063,3.684835985,2.919049031,1.975472279,5.069185476
2064,3.74670988,2.973981811,1.992587269,5.194308145
2065,3.808583775,3.028914591,2.009702259,5.319430815
2066,3.87045767,3.083847371,2.026817248,5.444553484
2067,3.932331566,3.13878015,2.043932238,5.569676153
2068,3.994205461,3.19371293,2.061047228,5.694798822
2069,4.056079356,3.24864571,2.078162218,5.819921492
2070,4.117953251,3.30357849,2.095277207,5.945044161
2071,4.173079945,3.363177145,2.113008214,6.077330716
2072,4.228206639,3.422775801,2.13073922,6.209617272
2073,4.283333333,3.482374456,2.148470226,6.341903827
2074,4.338460027,3.541973112,2.166201232,6.474190383
2075,4.393586722,3.601571767,2.183932238,6.606476938
2076,4.448713416,3.661170423,2.201663244,6.738763494
2077,4.50384011,3.720769079,2.219394251,6.871050049
2078,4.558966804,3.780367734,2.237125257,7.003336605
2079,4.614093498,3.83996639,2.254856263,7.13562316
2080,4.669220192,3.899565045,2.272587269,7.267909715
2081,4.717796111,3.964234875,2.291827515,7.406967615
2082,4.766372029,4.028904705,2.311067762,7.546025515
2083,4.814947947,4.093574535,2.330308008,7.685083415
2084,4.863523866,4.158244365,2.349548255,7.824141315
2085,4.912099784,4.222914195,2.368788501,7.963199215
2086,4.960675702,4.287584025,2.388028747,8.102257115
2087,5.009251621,4.352253855,2.407268994,8.241315015
2088,5.057827539,4.416923685,2.42650924,8.380372915
2089,5.106403457,4.481593515,2.445749487,8.519430815
2090,5.154979375,4.546263345,2.464989733,8.658488714
2091,5.194765272,4.617467378,2.48701232,8.804416094
2092,5.234551169,4.688671412,2.509034908,8.950343474
2093,5.274337065,4.759875445,2.531057495,9.096270854
2094,5.314122962,4.831079478,2.553080082,9.242198234
2095,5.353908859,4.902283511,2.575102669,9.388125613
2096,5.393694755,4.973487544,2.597125257,9.534052993
2097,5.433480652,5.044691578,2.619147844,9.679980373
2098,5.473266549,5.115895611,2.641170431,9.825907753
2099,5.513052445,5.187099644,2.663193018,9.971835132
2100,5.552838342,5.258303677,2.685215606,10.11776251
