Year,SSP1,SSP2,SSP3,SSP5
2021,1.006332454,1.008541393,1.010519481,1.006622517
2022,1.012664908,1.017082786,1.021038961,1.013245033
2023,1.018997361,1.025624179,1.031558442,1.01986755
2024,1.025329815,1.034165572,1.042077922,1.026490066
2025,1.031662269,1.042706965,1.052597403,1.033112583
2026,1.037994723,1.051248357,1.063116883,1.039735099
2027,1.044327177,1.05978975,1.073636364,1.046357616
2028,1.050659631,1.068331143,1.084155844,1.052980132
2029,1.056992084,1.076872536,1.094675325,1.059602649
2030,1.063324538,1.085413929,1.105194805,1.066225166
2031,1.0676781,1.092378449,1.114935065,1.070860927
2032,1.072031662,1.09934297,1.124675325,1.075496689
2033,1.076385224,1.10630749,1.134415584,1.08013245
2034,1.080738786,1.113272011,1.144155844,1.084768212
2035,1.085092348,1.120236531,1.153896104,1.089403974
2036,1.08944591,1.127201051,1.163636364,1.094039735
2037,1.093799472,1.134165572,1.173376623,1.098675497
2038,1.098153034,1.141130092,1.183116883,1.103311258
2039,1.102506596,1.148094612,1.192857143,1.10794702
2040,1.106860158,1.155059133,1.202597403,1.112582781
2041,1.108707124,1.160052562,1.211688312,1.114966887
2042,1.11055409,1.165045992,1.220779221,1.117350993
2043,1.112401055,1.170039422,1.22987013,1.119735099
2044,1.114248021,1.175032852,1.238961039,1.122119205
2045,1.116094987,1.180026281,1.248051948,1.124503311
2046,1.117941953,1.185019711,1.257142857,1.126887417
2047,1.119788918,1.190013141,1.266233766,1.129271523
2048,1.121635884,1.19500657,1.275324675,1.131655629
2049,1.12348285,1.2,1.284415584,1.134039735
2050,1.125329815,1.20499343,1.293506494,1.136423841
2051,1.124802111,1.207752957,1.301428571,1.136556291
2052,1.124274406,1.210512484,1.309350649,1.136688742
2053,1.123746702,1.213272011,1.317272727,1.136821192
2054,1.123218997,1.216031537,1.325194805,1.136953642
2055,1.122691293,1.218791064,1.333116883,1.137086093
2056,1.122163588,1.221550591,1.341038961,1.137218543
2057,1.121635884,1.224310118,1.348961039,1.137350993
2058,1.121108179,1.227069645,1.356883117,1.137483444
2059,1.120580475,1.229829172,1.364805195,1.137615894
2060,1.12005277,1.232588699,1.372727273,1.137748344
2061,1.117546174,1.233639947,1.37987013,1.13602649
2062,1.115039578,1.234691196,1.387012987,1.134304636
2063,1.112532982,1.235742444,1.394155844,1.132582781
2064,1.110026385,1.236793693,1.401298701,1.130860927
2065,1.107519789,1.237844941,1.408441558,1.129139073
2066,1.105013193,1.238896189,1.415584416,1.127417219
2067,1.102506596,1.239947438,1.422727273,1.125695364
2068,1.1,1.240998686,1.42987013,1.12397351
2069,1.097493404,1.242049934,1.437012987,1.122251656
2070,1.094986807,1.243101183,1.444155844,1.120529801
2071,1.090633245,1.242444152,1.450779221,1.117086093
2072,1.086279683,1.241787122,1.457402597,1.113642384
2073,1.081926121,1.241130092,1.464025974,1.110198675
2074,1.077572559,1.240473062,1.470649351,1.106754967
2075,1.073218997,1.239816032,1.477272727,1.103311258
2076,1.068865435,1.239159001,1.483896104,1.09986755
2077,1.064511873,1.238501971,1.490519481,1.096423841
2078,1.060158311,1.237844941,1.497142857,1.092980132
2079,1.055804749,1.237187911,1.503766234,1.089536424
2080,1.051451187,1.23653088,1.51038961,1.086092715
2081,1.045382586,1.234428384,1.516883117,1.081192053
2082,1.039313984,1.232325887,1.523376623,1.076291391
2083,1.033245383,1.23022339,1.52987013,1.071390728
2084,1.027176781,1.228120894,1.536363636,1.066490066
2085,1.021108179,1.226018397,1.542857143,1.061589404
2086,1.015039578,1.2239159,1.549350649,1.056688742
2087,1.008970976,1.221813403,1.555844156,1.051788079
2088,1.002902375,1.219710907,1.562337662,1.046887417
2089,0.996833773,1.21760841,1.568831169,1.041986755
2090,0.990765172,1.215505913,1.575324675,1.037086093
2091,0.983509235,1.21261498,1.581688312,1.031125828
2092,0.976253298,1.209724047,1.588051948,1.025165563
2093,0.968997361,1.206833114,1.594415584,1.019205298
2094,0.961741425,1.203942181,1.600779221,1.013245033
2095,0.954485488,1.201051248,1.607142857,1.007284768
2096,0.947229551,1.198160315,1.613506494,1.001324503
2097,0.939973615,1.195269382,1.61987013,0.995364238
2098,0.932717678,1.192378449,1.626233766,0.989403974
2099,0.925461741,1.189487516,1.632597403,0.983443709
2100,0.918205805,1.186596583,1.638961039,0.977483444
