,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,Y99,Y100,
SIM1,2.29666,4.429619,5.037161,7.555729,9.913824,7.246578,8.415386,6.856738,6.896788,10.11282,8.855186,10.3697,9.692741,7.623112,8.926646,6.697718,8.293247,8.11511,6.977628,6.116767,2.52652,1.901744,1.637638,2.462293,4.482547,3.26153,5.119547,4.369432,2.659959,4.934666,2.646367,3.178481,4.758865,7.300763,4.231501,5.125006,8.629072,7.947314,7.351006,7.294752,6.170726,6.258131,7.061612,6.201519,10.14486,8.662349,7.976741,8.042227,8.230935,4.394449,3.932161,2.858665,2.320072,2.940611,4.665246,1.61212,4.389941,6.145919,7.876663,7.939042,8.454076,7.901628,7.397456,7.108361,7.183706,6.107195,4.591122,5.185968,7.584769,9.522199,8.597656,4.891749,7.233772,6.581875,9.166524,11.39424,8.501904,9.355837,13.81244,12.14047,11.70803,11.38049,8.092611,8.577542,5.885037,7.03544,8.550272,6.437845,7.732833,9.497108,9.624899,10.5952,9.053081,11.90863,12.25554,10.03614,11.16627,12.09651,13.68037,12.33165,
SIM2,2.710528,1.921403,1.748277,2.552515,0.892804,2.572648,2.007898,2.274167,1.207592,3.002828,4.817601,2.92255,4.331122,2.650981,2.820482,3.694525,4.079723,1.105396,3.019019,3.222504,3.168398,6.344632,3.040185,5.403028,3.395484,3.094103,5.756803,2.950504,0.305435,2.01033,2.526815,-0.38352,3.047079,3.631638,3.514411,3.58609,4.185878,2.5199,2.319837,1.511669,2.708599,2.878437,4.022742,3.881698,3.939583,1.761829,1.403693,4.220013,5.793469,6.565584,5.093844,6.590336,6.87346,8.247837,7.598054,7.595842,8.744694,9.096917,8.323972,9.179676,8.444771,8.671985,7.944082,5.95448,9.963205,9.993997,10.85907,13.06255,9.215015,9.088333,5.437662,4.632239,6.45384,3.579391,3.057012,1.419414,2.834323,1.208765,3.813027,4.852368,6.987304,4.278119,2.726228,1.094915,4.18682,4.721694,6.514447,7.271566,6.713052,7.09056,8.238321,6.52463,8.934671,9.353965,10.54378,9.896626,9.072513,10.69264,12.80641,9.432237,
SIM3,2.089434,2.371886,1.777049,2.927541,2.965589,5.209027,2.257553,6.2987,5.503292,6.848853,6.703215,6.265283,4.383848,4.134218,5.479684,2.989291,3.085036,1.870596,3.67136,1.967542,0.741873,1.389431,2.441922,-0.10937,2.788945,3.423464,3.420287,2.658067,4.195103,9.181347,8.489433,10.14163,9.89838,10.39252,11.03386,6.807914,9.301368,8.369168,8.941073,8.795468,8.095462,9.759456,10.52858,9.980291,12.04302,13.62047,13.63483,11.26123,11.13139,12.12496,11.81358,12.14787,11.39267,9.963887,10.04743,10.57931,9.167064,9.964458,11.33475,7.528639,9.965919,12.28367,12.9296,12.76196,12.77584,11.08531,9.878836,12.26458,11.91614,12.27066,10.54683,11.64184,12.95189,13.67251,14.75667,12.72763,11.94146,12.40498,10.76261,13.43779,13.05017,10.10282,10.31903,8.785774,10.67031,9.962518,11.6628,10.7629,11.37305,10.45808,10.62424,10.16792,9.290934,10.11242,10.47751,8.60856,8.664398,9.476568,7.465821,11.24275,
SIM4,4.332745,3.242959,5.553299,7.042574,7.122348,7.830523,7.665739,5.725875,5.868094,8.595051,9.364632,10.72989,8.868763,11.18429,11.68824,13.02657,11.56526,13.43419,15.47834,13.1701,11.26868,11.08933,9.677036,9.75194,11.66262,11.69057,11.02972,10.16454,10.98169,9.790807,10.62096,8.878737,8.431876,5.738365,8.571284,10.46767,6.732872,7.435881,7.122059,6.441369,4.800449,7.935354,8.738926,5.841896,6.420884,5.948988,6.566059,5.446066,7.913749,6.58687,8.460726,6.544995,8.756106,4.547395,8.03561,8.629875,9.357403,5.804287,9.015253,8.333697,7.472245,7.114138,5.529129,7.488418,6.260044,8.232517,8.805142,7.28382,9.111169,8.562724,7.954573,8.94494,11.62042,8.374964,9.595272,9.965716,10.71988,8.078252,5.141522,6.791561,2.882608,6.428518,5.983253,6.927047,6.197416,5.126242,5.862669,4.789854,4.772692,5.365289,7.754712,7.295816,6.640105,4.234471,6.850748,3.878143,6.857761,4.734835,6.530949,3.927376,
SIM5,1.98169,2.833344,2.40851,2.682665,3.301042,3.061368,3.099502,1.45037,1.922003,0.421597,3.430896,6.032929,5.065508,3.375011,3.919727,4.088899,3.429709,3.131341,3.437022,1.436188,4.745631,3.91023,4.191196,4.743046,5.835794,5.835976,4.898507,6.220797,3.858683,6.531305,8.85412,7.250327,6.310801,7.823675,4.213967,5.43178,6.517345,4.570154,3.076747,5.088507,0.495253,4.268688,5.267046,3.130706,2.89403,0.836975,1.905435,5.414452,4.844953,3.322277,2.719208,3.57623,2.532625,4.580752,5.054379,5.541878,3.343459,5.757549,8.841542,7.374116,6.927657,7.742976,8.284298,9.77116,8.660751,7.457448,9.520888,10.73038,11.43179,10.7414,8.943585,11.08805,10.10434,8.908258,11.25683,13.119,10.94524,11.17775,9.877577,8.630617,10.0808,8.306697,8.127054,6.189215,7.468415,8.173199,5.233478,6.70597,5.846437,8.148168,8.28292,8.395888,7.252518,8.321907,9.206786,11.16784,10.57738,11.13184,10.25795,10.87818,
SIM6,-0.01712,3.346403,6.371905,4.070298,1.504616,0.840199,0.919372,1.924857,1.094289,1.119651,2.96593,3.115444,6.097863,2.583462,3.393384,6.952671,6.432466,6.455954,3.024246,5.267734,4.407675,3.895598,2.20355,1.927989,2.105777,2.015722,1.790746,2.3429,-0.44033,0.514508,3.026696,3.462658,0.783788,1.600379,4.789586,4.682844,1.739363,3.213719,4.658651,4.967212,4.825479,4.571935,4.615296,3.479273,3.164543,6.988954,4.906465,3.393831,1.718986,2.123145,1.237984,3.621065,4.247192,5.4443,4.68433,2.107,0.826544,1.198405,2.265624,1.478197,3.626142,2.394764,0.156858,2.56175,4.571165,3.956603,3.306655,5.242093,6.304851,6.419389,5.529328,5.989541,5.589516,6.020449,4.984113,3.703241,6.948259,6.240859,8.322201,6.542541,4.723742,5.54824,7.600383,7.86787,5.523235,6.587014,4.518519,8.977166,7.863661,7.812946,8.137353,5.893988,8.801107,11.18092,12.06846,11.38596,12.91646,14.26057,11.9638,11.92164,
SIM7,3.686734,4.901188,4.663074,4.354698,5.544147,3.970877,6.120481,3.069654,3.313248,5.23392,3.805085,6.388888,5.818524,4.511271,5.418063,7.053293,5.696292,5.040682,7.061043,6.629897,7.218563,6.470756,6.308887,6.059379,6.485663,5.784339,6.255065,7.971265,8.083555,7.94186,5.81294,4.874463,3.48884,3.862349,4.524168,5.927818,4.34516,5.627086,6.227161,2.095004,4.46646,6.147294,5.049516,5.633256,5.309552,3.654168,3.904189,2.332239,4.220737,3.047732,2.16512,3.103938,3.855661,4.682276,2.5673,2.994638,1.154231,4.639922,4.415828,3.689623,4.070987,4.128116,4.633062,4.577582,5.530194,5.236552,6.492013,7.246465,6.421204,7.03384,7.079447,6.8563,5.38706,6.599798,4.883516,5.621953,5.321609,5.816639,5.677134,4.604462,8.137931,7.661514,7.061511,7.992422,7.458122,7.389532,6.745258,8.43755,5.956649,4.866554,6.118704,4.555179,4.688161,4.44,6.051682,6.800402,8.10878,8.272793,9.078222,7.819045,
SIM8,4.567354,3.991559,3.3665,3.182885,3.187452,2.948963,4.085414,3.377001,2.029932,3.992054,5.119884,2.889951,1.047207,5.071103,2.730813,4.819389,2.461564,3.650653,3.941151,3.104988,2.499414,3.82429,2.038853,2.74118,3.91194,3.562348,4.217374,6.496712,4.744647,2.694706,4.641118,4.60955,5.838979,4.928379,5.060526,6.41266,8.10994,5.497103,5.462717,4.310662,3.223185,4.267288,2.128949,2.778414,2.5276,4.615574,5.323979,6.021784,2.666934,3.663712,3.79395,2.032508,2.772286,3.21823,3.070135,5.560295,5.110361,6.82281,3.734511,5.416128,2.68934,1.85371,4.330168,3.69573,4.128361,4.595064,2.681326,3.845988,3.062328,2.73575,1.199508,2.084176,6.066406,2.400403,2.385754,4.317684,0.907805,2.53686,3.212492,-0.09471,1.270347,2.009057,3.368143,2.289,3.700307,0.146504,3.714447,2.023779,2.773083,2.294206,1.737584,2.088089,1.06268,3.219317,1.917206,4.331496,2.893764,4.33975,6.052278,6.826871,
SIM9,1.27752,3.319692,2.202361,2.02924,3.423299,3.233211,4.840768,5.251041,5.378752,5.33597,5.048344,4.796495,4.478391,4.321513,5.16349,5.602991,6.375121,5.829685,5.130228,2.218809,5.098552,1.897528,3.849537,4.243975,3.590395,5.314013,6.536525,3.814679,1.594119,3.731487,4.807036,3.115465,4.769464,6.861584,6.059162,1.85493,0.763877,1.170512,2.812581,3.762387,2.122273,1.165384,4.23135,4.391663,5.605215,4.617284,3.131993,9.227379,7.423831,5.363151,8.644944,6.566905,6.570595,5.893629,2.917109,5.439579,5.487656,4.649287,5.955252,5.142013,5.631121,5.399334,4.930476,5.921888,4.800673,2.970149,3.995354,3.145129,2.827636,3.37022,-0.15849,2.354641,1.990986,0.962133,2.990561,2.881645,2.410948,3.078159,0.856052,1.136462,1.434333,2.652031,1.54167,1.563608,1.755587,2.517114,5.036788,5.083295,4.644027,3.016933,2.770166,1.769837,2.60427,2.847948,4.26741,3.673779,2.345627,5.167064,5.429422,5.346296,
SIM10,2.991821,-0.47517,3.880566,4.103459,3.966083,3.063296,2.072083,2.324498,2.54874,2.571497,3.1552,3.344757,5.004462,3.924604,5.578541,7.769059,6.565325,2.648391,4.383366,2.731667,2.262333,2.947949,0.592662,1.539784,2.345217,2.510028,1.10965,0.521457,4.004257,2.772167,3.80199,3.864633,2.528436,3.380125,2.796238,3.919924,3.39165,3.217271,3.863149,4.694425,3.679428,3.796735,4.071011,5.640177,2.81982,4.036028,3.028418,2.219603,4.140627,-0.78967,5.024863,5.717038,5.214575,4.425691,1.641197,4.374393,3.810949,5.875716,3.576229,5.091787,4.939469,7.866812,10.38918,11.1467,12.00926,11.58528,10.78175,10.27009,8.303358,10.7163,10.66524,14.01082,12.65547,12.06886,11.98352,12.57494,12.28162,12.01468,9.966923,10.42065,10.17938,9.098348,7.002009,8.146035,7.488988,10.17255,11.38297,8.978692,9.207717,8.88498,9.662585,11.60509,11.68035,11.4177,12.28067,12.69364,11.38482,12.09981,13.54407,13.97885,
