Year,SIM1,SIM2,SIM3,SIM4,SIM5,SIM6,SIM7,SIM8,SIM9,SIM10,SIM11,SIM12,SIM13,SIM14,SIM15,SIM16,SIM17,SIM18,SIM19,SIM20,SIM21,SIM22,SIM23,SIM24,SIM25,SIM26,SIM27,SIM28,SIM29,SIM30,SIM31,SIM32,SIM33,SIM34,SIM35,SIM36,SIM37,SIM38,SIM39,SIM40,SIM41,SIM42,SIM43,SIM44,SIM45,SIM46,SIM47,SIM48,SIM49,SIM50,SIM51,SIM52,SIM53,SIM54,SIM55,SIM56,SIM57,SIM58,SIM59,SIM60,SIM61,SIM62,SIM63,SIM64,SIM65,SIM66,SIM67,SIM68,SIM69,SIM70,SIM71,SIM72,SIM73,SIM74,SIM75,SIM76,SIM77,SIM78,SIM79,SIM80,SIM81,SIM82,SIM83,SIM84,SIM85,SIM86,SIM87,SIM88,SIM89,SIM90,SIM91,SIM92,SIM93,SIM94,SIM95,SIM96,SIM97,SIM98,SIM99,SIM100
2022,3.340218,3.588203,3.067179,5.387437,3.025251,1.057616,4.730779,5.523817,2.268235,4.034381,5.764806,3.158378,3.66039,6.32778,4.874387,3.529025,3.597298,2.762379,3.211755,4.950576,3.263643,4.422174,5.767847,1.669904,2.92977,2.685916,3.824061,3.377662,4.626072,4.186072,5.994812,3.691056,3.843651,3.785202,2.602949,4.407958,3.205801,5.00681,3.547418,4.5634,2.282606,5.450111,4.7243,5.345961,5.45624,3.676051,3.99242,4.743453,3.990002,3.730559,3.324515,4.057398,4.064306,4.032039,3.53805,2.474909,2.585927,2.64936,1.584561,2.768083,1.70582,4.330231,4.095454,2.935186,3.369844,5.347158,0.658034,3.047726,4.110702,3.057925,3.233876,1.173503,2.322492,3.849204,4.074146,3.304875,1.46433,3.437068,7.236546,2.1709,5.723787,4.098336,3.264081,2.788484,0.505576,4.238171,1.195696,4.379517,3.9032,5.143293,3.680309,3.378731,3.792573,3.02482,3.484729,4.650561,3.381672,4.61412,4.239004,3.405035
2023,5.324348,2.9563,3.413004,4.253615,3.796549,3.190412,5.859622,5.006117,4.368039,0.575953,5.17061,3.476027,2.700426,5.343984,6.810615,4.747585,1.450008,3.340423,1.739107,4.46402,3.093584,3.166367,4.285069,2.213663,4.286695,4.592334,3.40668,4.403454,2.718692,3.674821,6.532286,3.99478,1.547104,4.815912,4.24534,4.986141,3.807966,4.26169,2.924397,0.999295,4.551614,2.78372,4.131134,2.567675,3.114303,1.743874,6.483656,5.667581,5.470154,3.313019,3.794245,2.929613,3.515973,2.727758,2.147994,2.299734,2.257792,4.019136,2.34663,4.720422,4.09085,2.241078,3.035554,2.98953,3.527703,2.60577,2.959972,2.319225,2.320387,1.917634,2.594012,1.978473,3.639616,3.339158,4.030216,5.56247,3.297923,3.803465,4.75493,1.15809,1.032677,2.616197,3.47204,4.819123,3.382183,2.757236,2.802295,4.72881,3.70357,4.701937,2.222368,4.048155,4.574571,2.284514,2.730028,2.272902,2.866705,3.079976,6.130475,3.295635
2024,6.053436,2.723716,2.668536,6.497299,3.393819,7.413493,5.601676,4.332545,3.146739,3.864407,2.635163,1.570831,2.524172,4.346885,6.493244,3.901374,1.414514,2.770219,3.077952,4.492314,3.726304,5.025082,4.940575,3.533619,4.755058,4.911326,3.731134,3.287106,4.550139,2.9345,7.220574,5.496634,4.116786,1.717995,4.313246,6.705196,2.367472,4.285973,2.160045,2.215195,6.801002,2.504999,3.99899,4.76984,4.31317,3.833508,6.183276,6.236173,5.432663,2.848265,5.498958,2.929019,4.078872,4.737745,2.853061,4.086444,3.880683,7.033144,5.924037,6.599432,3.273902,4.09787,4.601386,4.820827,4.072372,2.768837,4.65876,3.685726,3.987832,3.53019,3.309945,3.831882,3.513437,2.526095,4.132372,3.189185,4.774931,2.966778,4.088502,3.302939,1.282611,2.880028,4.539992,4.743516,6.337337,3.452176,2.299211,6.502594,4.249042,4.2515,3.698979,3.775852,5.197392,3.062405,2.785858,2.367982,7.348453,0.687605,3.643275,5.079266
2025,6.797723,3.510408,3.948426,7.944279,2.405914,5.132359,5.309242,4.09333,2.921267,5.035206,4.076982,4.287604,3.845032,5.328676,8.183352,3.345443,2.574872,2.25853,1.76292,7.636569,1.453893,4.566661,5.204592,3.52399,5.886926,5.935369,7.262134,5.101595,4.076807,2.829752,8.377224,6.149355,5.712739,3.5773,5.235782,5.748151,3.403729,2.960015,4.78274,5.517676,7.559613,3.736373,4.121462,5.898298,5.777713,2.790939,7.150525,4.114995,6.050963,5.205235,5.538048,4.901468,4.12853,3.632456,2.164865,3.12615,3.836522,6.068525,4.334383,5.889716,4.125609,2.88835,2.382438,4.558962,2.607649,1.363999,5.058021,5.042947,2.262918,2.138026,3.695113,2.527271,3.588366,3.484444,5.272703,3.58548,4.346956,3.149175,2.566771,4.573078,1.885736,3.709297,5.129165,5.436477,1.498793,7.614241,5.244949,4.071641,3.78115,3.60105,3.358757,5.064114,7.304241,4.085906,5.884245,4.166284,5.95779,1.603328,1.239892,5.545467
2026,9.486276,1.922664,4.042429,8.166343,4.349122,2.518762,6.529606,4.198503,4.50022,5.0223,6.192106,7.501459,5.533843,3.914323,6.986114,4.508986,4.04246,6.166177,2.594267,8.416116,3.222414,5.208277,4.233491,3.356735,6.085253,6.310387,4.639688,6.963762,4.392501,3.687483,6.640702,3.454099,5.723076,4.023976,4.64587,5.744739,2.924808,5.404927,1.022675,2.101547,7.732734,3.808369,6.530444,5.966791,5.40672,2.333275,6.76907,3.51292,3.634205,2.264123,1.852323,4.688962,4.852186,3.644635,2.172839,3.778096,4.437013,6.128831,1.462882,6.590143,5.288876,4.560549,3.423983,4.961493,3.85789,4.365006,3.524481,5.173498,3.036402,1.909551,2.183516,5.24698,2.917217,4.547505,4.189238,3.044072,3.257867,3.754358,3.484426,4.567832,0.875743,5.014394,4.607051,4.900419,2.633884,9.478436,5.451518,2.576849,4.149582,4.236412,3.174078,3.840323,8.73428,5.673588,2.453091,0.322571,4.354146,3.436523,1.902669,5.097409
2027,8.247627,3.566193,6.265257,7.337352,4.028994,1.886173,4.990141,3.975432,4.25765,4.058144,3.781709,5.21306,5.719426,5.090521,5.200736,3.508825,6.001681,5.277378,4.909187,6.086762,2.810206,6.479866,5.923026,3.312905,6.889425,7.085191,5.317318,5.842574,4.614462,1.402191,6.758049,3.42294,4.743947,6.040773,4.714385,6.081462,4.711349,6.758007,2.545165,3.578301,7.71519,1.063896,6.650855,8.205606,7.265839,6.013853,7.411592,2.419872,3.750972,3.447008,1.694947,2.454461,2.662319,0.629622,2.239529,2.797691,1.111561,4.302453,4.107732,6.281541,4.805753,3.530634,3.91515,3.782218,3.920911,6.012389,1.776292,6.63259,1.934712,2.4814,2.8016,4.785445,3.253442,5.431432,5.21184,2.600325,2.555443,2.769681,3.09312,5.464197,1.384679,4.611364,3.858172,4.286536,3.230335,7.316944,6.327191,6.572748,4.270511,3.417131,5.550957,4.101331,4.332324,3.658812,3.620743,1.780115,4.603939,4.09383,2.717195,3.093567
2028,9.273491,2.94932,3.212393,8.638511,4.093263,1.900537,7.149956,5.218273,4.502738,3.041048,3.757222,6.703064,3.497044,4.720602,6.122469,4.389553,7.2709,2.851847,6.487243,7.204259,4.723651,5.189748,3.586249,4.232591,7.113349,8.003976,2.21036,4.00608,5.970564,2.582783,7.380944,2.817317,6.052313,6.343242,9.069378,6.444003,3.471829,3.142252,5.280448,2.453538,5.073388,3.049061,5.493117,10.46738,9.853134,3.73208,4.919396,2.409575,3.598481,3.918215,4.08055,3.757842,2.117573,1.353821,4.404507,2.998629,1.312811,5.367103,1.395624,4.816026,5.946993,6.375136,2.442307,3.456477,5.95493,7.079345,3.086638,3.898313,4.252254,2.14072,3.426678,3.619233,4.242081,4.976355,5.727057,3.532137,4.40641,2.937407,4.175155,4.880527,3.254182,6.147352,2.635396,4.818956,3.726303,8.512107,4.474359,7.325199,6.514822,3.114893,6.02706,5.477448,5.058893,3.583283,4.265517,5.035199,5.444018,5.665558,3.408028,6.255361
2029,7.860932,3.273375,5.893443,6.726349,2.472758,2.918424,4.111563,4.367279,6.21624,3.380028,2.102241,8.705309,4.759945,2.999429,6.416919,2.152771,8.569804,5.491261,3.667806,8.601932,3.010045,5.924018,5.947472,4.380258,4.336403,9.347103,3.584713,4.605641,4.489346,3.25238,7.816192,1.668222,6.305072,8.236971,6.531218,4.867139,3.695633,4.522221,4.308116,2.856374,4.610162,3.053466,7.242701,9.123432,6.66686,3.845069,4.137907,4.958187,3.66505,2.543863,5.288732,2.793363,2.386385,5.000518,3.659028,3.114139,3.307167,3.826864,3.822335,5.285756,5.918367,5.527006,4.116621,4.86716,7.014277,1.360692,3.871545,2.455575,1.937403,2.29884,4.357545,5.233189,3.678437,6.263531,5.130044,4.897359,3.417272,1.963941,3.701772,4.867447,2.115783,4.844587,4.846063,5.36922,4.38086,9.163538,4.645069,5.885062,4.870019,3.803878,3.754095,6.781226,3.897012,5.123595,4.753615,3.95513,2.676653,4.752503,5.596389,7.326948
2030,7.83803,2.103427,6.420409,6.861787,2.952223,2.054508,4.246443,3.008102,6.434806,3.539358,1.696094,8.917797,2.531903,4.230077,8.135477,3.315117,7.768959,2.537764,6.774704,9.436213,3.388276,4.105634,8.19426,5.082977,4.448088,7.505198,3.390331,3.944072,5.996239,3.703029,6.429593,2.697461,4.558596,8.306589,6.289107,6.26166,5.400694,4.069416,0.50959,1.930233,7.710927,3.187655,6.435134,10.2759,8.344528,6.470533,4.849193,4.76452,5.850784,3.138565,4.511567,2.807632,2.740525,7.223219,1.976753,2.95958,3.763898,5.761717,3.137839,6.423957,6.736313,4.404801,5.066769,4.789319,6.29825,1.550394,3.092446,2.818891,1.603025,3.421339,3.131972,6.7522,3.643643,5.433646,3.190533,6.416745,3.921354,2.286555,2.117388,4.51729,0.893542,5.08534,4.862014,4.165177,5.119881,9.476339,3.400284,7.829649,3.248312,2.255671,4.299305,4.1002,5.220822,2.211437,2.752357,3.415576,2.734469,4.497977,4.085846,6.721705
2031,10.07947,4.124246,7.852682,8.544723,1.458132,2.076268,4.584473,3.70852,6.328106,3.637306,3.635711,10.38113,2.840957,6.530619,6.668511,3.022434,6.987665,4.145669,3.75583,8.38825,5.58552,3.742185,6.682885,5.932174,2.481271,8.565296,2.989405,4.027575,2.508662,6.041043,8.237366,4.069921,3.004418,9.270874,7.804333,5.356109,4.353065,3.88356,4.085196,3.296937,6.419772,3.66906,6.077545,11.39465,7.037206,6.24411,2.024213,5.601291,7.339582,4.616894,1.379895,2.498439,2.919357,6.48882,1.986176,3.753894,4.241208,6.200803,3.77062,7.41611,3.29186,6.875298,0.850335,6.43589,5.453741,3.740699,4.964406,5.943422,3.717495,2.723089,5.132853,7.181419,2.943142,7.607301,2.018648,2.926885,3.44263,3.589652,2.674527,5.69265,2.209376,3.056107,5.473614,5.225168,4.120671,9.679828,4.782256,8.879154,5.395887,2.617848,4.691867,6.215342,4.317464,3.548144,2.748494,3.162129,4.229696,5.565304,5.264471,7.479088
