Year,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6
2020,603353.06037945,611938.291944587,600495.886476803,592071.770469747,592178.158452072,591334.297730312
2021,576359.122397892,583947.656597234,573178.992710917,564906.431884958,565149.868693498,564285.081697856
2022,645650.529305009,653653.36367308,642439.993510863,634018.701234993,634394.771354232,633331.063588475
2023,634440.800900841,643111.005795666,631518.554296505,623128.147012705,623477.32255227,622491.841386919
2024,794271.790435953,802247.146311617,791638.671223761,783065.145780158,783257.216991466,782362.361598787
2025,643626.985739128,651978.474042814,641594.67319028,632619.431931747,632850.030564415,631978.313887401
2026,736517.322265697,745548.338824228,734280.108198998,725388.954371407,725802.342446117,724816.488825728
2027,720655.954515905,729424.26829965,718947.658650987,709955.912559049,710342.538540546,709366.67757365
2028,609620.668270095,616981.241297049,607246.182896296,597966.65240901,598281.717588302,597357.204035674
2029,722773.958207499,731196.195969847,721069.599960102,711557.292394963,712071.584701889,710893.529769408
2030,572999.485262196,581427.195571106,570971.100543176,561986.801903078,562270.063076099,561366.604931801
2031,672328.423524002,681111.643637337,671047.308929855,662085.741919406,662447.554135328,661316.247739948
2032,730034.7531966,738335.025128914,726919.652262825,718450.795268925,718786.524820677,717610.029971691
2033,750505.772499684,757894.464717904,747745.535851241,738838.554434781,739367.936351764,738200.523418867
2034,657200.091790834,665974.966881738,654834.611930813,646337.840351297,646731.133484771,645691.442312051
2035,519870.686779199,527586.132704754,516406.871367684,507573.21201121,507745.394746589,506950.077064679
2036,671035.447025053,679605.71777035,669017.301034091,659999.201503151,660377.13203628,659393.641102329
2037,772069.706176044,779535.100378074,768759.386394878,760161.216810631,760683.118199483,759671.293519161
2038,640362.896299899,648154.363909709,637971.188562982,628928.134981507,629341.479082747,628335.181011743
2039,616813.547516879,624457.99413112,613383.764620786,605215.596971603,605583.275969946,604558.59143672
2040,690606.6778846,698703.010709897,687680.599912716,679128.739946236,679452.155583271,678489.963588113
2041,591149.567034024,600475.036463701,589221.062696626,580074.257886084,580686.619686816,579498.445968748
2042,564267.823906467,571591.177040581,561278.415700509,552609.151040059,552899.462071753,551879.566155608
2043,672168.509776878,680676.586888427,669603.823367136,661071.977119249,661507.912830914,660345.658022516
2044,646123.585735408,653562.610544828,643507.661751,634560.69917632,634918.531011361,633886.784611476
2045,661166.974624909,669141.84630398,658484.584847946,650071.783296663,650311.325413601,649469.795831585
2046,656119.20213541,662600.550091112,652539.766581664,644361.748677679,644674.207155552,643600.952357087
2047,738336.755794136,746380.082954463,736024.08649304,727171.496426762,727491.354164348,726564.638018334
2048,585929.12527793,594658.672932709,583791.262821574,575072.420166804,575318.431413464,574326.83849045
2049,586497.740669972,595642.745102143,584779.73384718,576000.852973285,576366.775119876,575388.566159482
2050,733179.58418007,740594.447617598,730198.807385361,721294.651320107,721739.208310881,720733.518579422
