Index,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1,4,4,2,3,26,12,0,1,37,4,11,5,5,18,21,9,9,15,16,10,0,21,0,6,0,3,1,2,3,8,0,3,10,4,13,3,9,7,13,11,10,5,10,8,0,14,11,8,4,1,7,2,9,6,0,11,22,21,7,11,1,0,14,10,1,2,32,10,3,22,1,5,3,16,13,18,6,0,1,20,12
2,4,1,2,7,21,19,5,0,17,2,1,3,8,3,22,3,1,14,5,16,7,2,8,2,15,15,4,0,5,3,20,26,5,4,0,8,6,5,13,14,5,11,10,11,29,2,31,9,17,1,1,2,13,8,7,1,7,6,4,1,14,17,30,3,18,31,15,8,15,5,22,1,8,2,10,4,12,3,40,1,13
3,1,11,17,2,8,4,16,13,7,3,4,0,1,7,14,8,33,11,11,13,9,1,4,7,0,18,1,3,0,22,3,0,3,4,2,6,14,4,13,12,0,7,17,0,9,11,12,1,1,10,1,3,9,10,3,12,8,0,0,5,18,4,2,6,18,67,3,12,3,0,11,1,2,8,13,4,3,3,4,3,4
4,4,3,0,42,2,1,5,0,2,0,14,11,0,6,13,7,15,15,13,5,5,9,1,2,1,1,20,7,5,3,0,4,8,9,20,31,4,13,1,16,10,43,1,3,1,4,4,5,4,2,15,22,11,0,0,2,32,19,4,0,1,6,43,14,5,28,13,9,5,20,9,10,22,3,0,5,8,9,2,22,0
5,38,0,18,21,2,0,6,25,22,0,3,9,17,0,2,5,3,4,4,4,3,1,18,10,5,1,2,12,8,4,3,13,1,3,1,6,42,4,0,9,5,1,3,6,2,2,47,19,17,16,10,12,25,1,6,4,10,5,0,18,21,17,27,17,8,20,12,1,14,4,8,8,2,5,13,38,16,8,1,7,9
6,0,0,3,7,5,5,2,10,1,1,15,8,8,6,31,12,0,8,20,7,20,12,19,23,0,3,0,5,27,6,26,8,5,6,2,23,3,2,7,26,13,4,4,10,22,3,1,6,7,31,36,5,14,18,7,13,1,16,4,3,9,8,0,23,6,8,16,27,4,4,0,6,3,13,9,3,13,7,8,18,2
7,5,1,47,17,0,2,0,7,0,15,10,5,4,2,5,30,5,13,1,19,23,6,13,0,1,7,15,4,1,5,5,4,9,4,2,4,10,14,14,2,4,4,2,2,1,10,6,1,16,21,2,27,6,3,8,3,5,9,6,8,25,10,6,10,5,14,7,27,6,8,4,0,45,11,0,8,10,5,2,4,9
8,11,11,48,4,9,56,16,11,18,5,2,15,12,8,65,19,16,4,7,16,0,13,1,0,3,50,1,2,12,8,6,0,7,34,5,0,18,29,4,1,9,13,17,5,3,29,4,18,21,14,0,1,7,4,2,27,6,2,3,3,6,7,27,7,0,14,17,23,10,1,8,12,16,8,7,2,9,2,3,7,6
9,17,6,6,5,2,5,6,6,12,6,9,14,8,2,21,12,4,14,0,12,13,0,0,10,21,6,19,7,3,0,19,2,7,16,12,4,3,3,11,24,15,15,3,12,7,1,10,1,4,7,30,29,8,13,17,10,7,3,1,11,14,7,5,3,37,13,33,26,7,11,21,32,4,4,1,17,3,2,11,5,11
10,9,8,10,7,2,58,17,11,10,12,18,10,7,15,21,8,0,8,7,4,2,21,20,10,36,22,4,6,3,9,1,8,27,26,17,13,20,3,27,0,15,20,3,18,15,2,10,3,2,15,41,24,22,0,3,17,21,12,4,6,4,8,2,6,1,0,5,6,0,13,3,0,14,6,10,24,4,7,11,2,7
11,1,4,2,8,33,22,5,1,2,20,5,12,10,19,10,4,22,2,8,1,5,14,8,32,0,4,12,10,0,4,6,1,9,13,19,24,22,8,2,9,7,25,5,15,7,1,2,8,10,2,5,8,15,6,3,16,14,13,0,5,1,1,10,3,9,15,5,12,4,3,4,0,1,8,6,0,9,1,4,1,1
12,22,24,4,4,2,4,1,23,11,33,9,32,5,13,4,2,3,6,8,0,3,3,10,12,1,3,4,7,12,7,3,35,14,13,3,3,5,18,6,0,4,0,11,3,7,8,2,4,28,5,0,3,6,4,21,10,16,19,6,12,0,8,4,8,11,8,3,2,32,2,0,1,4,4,7,5,15,4,13,9,10
13,14,5,14,17,25,2,9,0,5,7,1,1,3,5,0,9,15,4,21,12,14,14,15,2,16,4,22,5,4,17,59,7,3,1,0,12,12,18,3,1,10,8,1,2,13,9,0,0,11,4,4,3,13,6,24,5,26,18,14,0,6,8,7,6,2,3,5,5,10,0,11,14,3,24,12,19,0,0,1,50,18
14,24,25,0,1,8,4,11,8,13,3,9,31,0,16,10,0,7,7,14,1,7,11,2,2,6,1,3,13,8,6,11,11,8,3,2,0,2,7,0,4,30,13,0,21,3,0,1,18,15,26,8,6,1,18,2,25,24,0,6,59,29,7,6,12,13,19,23,0,5,40,5,27,0,11,10,11,12,21,2,1,3
15,13,14,0,8,6,5,30,5,0,12,12,7,9,2,0,21,3,44,4,4,4,4,25,2,24,13,9,3,7,8,8,6,2,6,5,0,2,3,3,3,1,4,13,6,5,3,32,2,22,12,0,40,12,16,8,39,26,2,30,3,11,15,15,3,39,8,5,39,51,10,2,0,0,6,8,0,8,1,13,10,4
16,11,6,23,30,11,7,9,14,11,3,0,1,3,8,12,2,6,9,0,6,1,26,0,1,16,10,19,22,7,2,0,1,17,9,8,3,21,5,2,53,7,1,18,0,16,3,2,3,38,1,24,5,3,1,6,27,0,4,0,5,2,1,2,4,25,4,12,21,0,5,1,10,7,3,0,14,5,3,11,39,33
17,24,12,5,8,7,7,22,7,0,2,2,11,5,20,14,4,9,0,19,8,13,1,6,13,16,10,16,5,3,1,12,17,3,3,2,2,6,22,4,5,18,37,5,12,10,4,6,0,5,0,11,3,1,1,1,2,12,42,3,2,2,8,6,10,27,7,4,3,18,7,11,7,5,10,27,17,11,13,8,12,13
18,1,3,3,17,38,46,6,3,25,5,1,8,9,2,0,1,3,11,3,39,8,1,6,14,9,1,23,5,0,3,2,13,36,8,22,13,6,5,8,3,0,2,2,3,5,4,7,3,1,13,8,9,21,3,9,44,1,13,1,6,6,5,0,10,1,9,0,24,13,14,32,18,5,21,5,16,1,0,7,6,3
19,0,1,11,5,47,7,7,4,0,8,5,14,22,6,32,16,0,1,20,8,3,9,0,2,1,7,0,37,11,12,14,6,25,1,1,4,3,0,5,25,10,4,30,20,8,0,0,6,11,36,3,7,2,4,5,25,29,0,7,4,7,16,7,25,7,1,5,6,6,18,4,10,20,13,0,7,3,4,7,12,3
20,11,15,10,14,6,4,11,0,10,23,2,2,0,16,3,12,0,17,1,14,7,5,4,5,0,0,7,28,9,4,49,14,7,2,2,9,0,14,4,2,11,20,11,6,0,15,2,31,24,5,8,14,9,12,2,1,6,1,0,3,9,9,8,3,8,2,1,8,9,2,24,19,9,6,16,3,2,11,7,2,16
21,8,25,14,4,15,30,36,4,4,28,20,1,26,6,5,3,5,8,2,20,15,13,4,6,17,10,2,13,1,31,3,1,5,3,3,5,7,0,0,6,5,5,68,39,15,19,6,14,15,26,13,10,3,4,17,3,3,2,5,7,11,18,8,6,32,5,10,3,11,0,24,16,7,19,2,3,37,18,17,14,15
22,14,1,6,5,6,1,8,0,0,11,17,6,23,12,4,89,3,9,11,13,14,0,17,19,6,12,24,12,21,10,14,15,2,15,28,2,6,3,17,3,15,10,8,12,1,1,6,23,10,1,24,4,19,1,16,3,4,1,1,8,23,3,9,6,0,1,42,8,12,2,10,1,11,5,2,4,43,12,2,14,4
